
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002067                       # Number of seconds simulated (Second)
simTicks                                   2067342500                       # Number of ticks simulated (Tick)
finalTick                                  2067342500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.19                       # Real time elapsed on the host (Second)
hostTickRate                                224868916                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     705568                       # Number of bytes of host memory used (Byte)
simInsts                                      5114961                       # Number of instructions simulated (Count)
simOps                                        5115008                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   556150                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     556121                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4134687                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.808352                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.237085                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5125486                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      210                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5122990                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     64                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10687                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5145                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4106766                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.247451                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.532547                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     67003      1.63%      1.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3013368     73.38%     75.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1006410     24.51%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      5132      0.12%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      4619      0.11%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      2977      0.07%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3789      0.09%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2433      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1035      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4106766                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1911     69.14%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.14% # attempts to use FU when none available (Count)
