
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002067                       # Number of seconds simulated (Second)
simTicks                                   2067062500                       # Number of ticks simulated (Tick)
finalTick                                  2067062500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.73                       # Real time elapsed on the host (Second)
hostTickRate                                 90921165                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     705568                       # Number of bytes of host memory used (Byte)
simInsts                                     15315005                       # Number of instructions simulated (Count)
simOps                                       15315052                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   673612                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     673606                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4134126                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.269940                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.704533                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15324954                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      183                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15322570                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     59                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10084                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              4988                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  64                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4105334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.732356                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.581958                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    866970     21.12%     21.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    411613     10.03%     31.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    407070      9.92%     41.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      3771      0.09%     41.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      4940      0.12%     41.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    404175      9.85%     51.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2003886     48.81%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1719      0.04%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1190      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4105334                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  801184     99.93%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.93% # attempts to use FU when none available (Count)
