# Baseline Run

  N      version  l1-d$              CPU              checksum  correct         simTicks     simInsts  overallMissRate::total  overallMissLatency::total

 64     baseline     32  MinorCPU          4954776778722876215      yes    2,734,754,500    5,010,119                0.003652                182,332,000
 64     baseline     32  TimingSimpleCPU   4954776778722876215      yes    3,800,656,500    5,009,918                0.002292                136,260,000
128     baseline     32  MinorCPU         14888976725022512033      yes   65,338,063,000   31,249,514                0.469769             56,987,763,500
128     baseline     32  TimingSimpleCPU  14888976725022512033      yes   69,157,122,500   31,249,582                0.256462             47,864,004,500
256     baseline     32  MinorCPU          8784188603516690629      yes  657,678,296,000  238,960,048                0.498250            605,203,944,000
256     baseline     32  TimingSimpleCPU   8784188603516690629      yes  683,891,383,000  238,959,968                0.266554            522,116,775,000

# Memory System-aware Optimizations

  N      version  l1-d$              CPU              checksum  correct         simTicks     simInsts  overallMissRate::total  overallMissLatency::total

 64  transpose_b     32  MinorCPU          4954776778722876215      yes    2,749,699,000    5,026,126                0.004257                195,799,500
 64  transpose_b     32  TimingSimpleCPU   4954776778722876215      yes    3,822,554,500    5,025,967                0.002606                147,317,500
128  transpose_b     32  MinorCPU         14888976725022512033      yes   41,147,790,000   31,309,383                0.237737             29,482,945,500
128  transpose_b     32  TimingSimpleCPU  14888976725022512033      yes   46,380,657,500   31,310,524                0.130004             24,490,079,500
256  transpose_b     32  MinorCPU          8784188603516690629      yes  392,057,365,500  239,199,687                0.250667            307,786,006,500
256  transpose_b     32  TimingSimpleCPU   8784188603516690629      yes  430,282,279,500  239,199,828                0.134366            263,856,654,500

 64   ikj_stream     32  MinorCPU          4954776778722876215      yes    2,744,670,000    5,258,585                0.003378                188,834,000
 64   ikj_stream     32  TimingSimpleCPU   4954776778722876215      yes    4,318,322,500    5,258,367                0.002024                139,767,000
128   ikj_stream     32  MinorCPU         14888976725022512033      yes   40,995,760,500   33,290,221                0.190810             28,930,094,500
128   ikj_stream     32  TimingSimpleCPU  14888976725022512033      yes   50,224,064,000   33,291,458                0.103904             24,214,592,500
256   ikj_stream     32  MinorCPU          8784188603516690629      yes  391,131,919,500  255,515,418                0.200533            305,020,970,500
256   ikj_stream     32  TimingSimpleCPU   8784188603516690629      yes  462,310,251,000  255,515,719                0.107192            262,626,242,500

# Sensitivity

  N      version  l1-d$              CPU              checksum  correct         simTicks     simInsts  overallMissRate::total  overallMissLatency::total

128     baseline     16  TimingSimpleCPU  14888976725022512033      yes   69,217,073,500   31,249,626                0.256074             47,922,055,500
128     baseline     32  TimingSimpleCPU  14888976725022512033      yes   69,157,122,500   31,249,582                0.256462             47,864,004,500
128     baseline     64  TimingSimpleCPU  14888976725022512033      yes   40,135,234,500   31,249,620                0.042862             17,902,738,000

128  transpose_b     16  TimingSimpleCPU  14888976725022512033      yes   46,410,222,500   31,310,546                0.129836             24,518,735,000
128  transpose_b     32  TimingSimpleCPU  14888976725022512033      yes   46,380,657,500   31,310,524                0.130004             24,490,079,500
128  transpose_b     64  TimingSimpleCPU  14888976725022512033      yes   31,559,084,000   31,310,525                0.021787              9,190,697,000
